dataset,architecture,status,epochs_completed,best_epoch,metric,score,exact_accuracy,retrieval_mean_r1,retrieval_mean_r5,overfit_status,source_run
ai2d,clip_vqa_baseline,preflight_existing_metrics,18.0,14,accuracy,0.45347003154574134,0.45347003154574134,0.10707539821630252,0.3081941036725474,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix\ai2d\clip\seed42\val\metrics.json
ai2d,gnn_ocr_knn_graph_encoder,preflight_existing_metrics,13.0,8,accuracy,0.39747634069400634,0.39747634069400634,0.11141293764847918,0.28809829808778287,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix\ai2d\gatv2_knn\seed42\val\metrics.json
ai2d,hybrid_v4_multipos_training,preflight_existing_metrics,2.0,1,accuracy,0.28125,0.28125,0.07670454545454546,0.4460227272727273,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\ai2d\hybrid_gatv2_knn\seed42\val\metrics.json
ai2d,llm_reasoner,preflight_existing_metrics,,1,accuracy,0.018138801261829655,0.018138801261829655,0.21297269930287807,0.38053997741169143,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix\ai2d\ocr_text\seed42\val\metrics.json
ai2d,graphcolbert_film,preflight_existing_metrics,2.0,1,accuracy,0.125,0.125,0.12357954545454546,0.35511363636363635,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\ai2d\graphcolbert_film\seed42\val\metrics.json
ai2d,hybrid_epoch_view_training,preflight_existing_metrics,18.0,13,accuracy,0.39747634069400634,0.39747634069400634,0.09258772442263505,0.2894711220158118,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix\ai2d\graph_transformer\seed42\val\metrics.json
ai2d,qwen_vlm_qlora_training,preflight_existing_metrics,,1,accuracy,1.0,1.0,1.0,1.0,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\ai2d\qwen25_vl_qlora\seed42\val\metrics.json
ai2d,sam_sam2_graph_nodes,preflight_existing_metrics,2.0,2,accuracy,0.1875,0.1875,0.09232954545454546,0.4616477272727273,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\ai2d\sam2_graph_transformer\seed42\val\metrics.json
ai2d,train_sam_graph_transformer_models,preflight_existing_metrics,2.0,2,accuracy,0.1875,0.1875,0.09232954545454546,0.4616477272727273,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\ai2d\sam2_graph_transformer\seed42\val\metrics.json
docvqa,clip_vqa_baseline,preflight_existing_metrics,15.0,11,anls,0.11826127572614548,0.08506262852869695,0.05610683760311007,0.15089890495658118,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix\docvqa\clip\seed42\val\metrics.json
